0	4.82,4.514,4.8,4.198,4.232,4.554,4.452,4.682,4.492,4.398,4.668,4.676,4.66,4.388,4.426,4.582
1	14.576,14.428,14.636,14.596,14.372,14.56,14.688,14.71,14.368,14.564,14.442,14.228,14.652,14.44,14.424,14.578
2	24.616,24.55,24.46,24.394,24.444,24.522,24.522,24.822,24.368,24.518,24.574,24.57,24.372,24.538,24.38,24.374
3	34.55,34.524,34.578,34.56,34.44,34.462,34.426,34.538,34.66,34.618,34.416,34.544,34.408,34.766,34.4,34.674
4	44.262,44.468,44.386,44.622,44.422,44.474,44.64,44.534,44.58,44.764,44.3,44.62,44.482,44.57,44.44,44.698
5	54.72,54.504,54.446,54.25,54.436,54.436,54.862,54.53,54.364,54.732,54.404,54.794,54.54,54.516,54.392,54.456
6	64.72,64.786,64.496,64.484,64.396,64.218,64.362,64.33,64.638,64.404,64.814,64.576,64.54,64.41,64.704,64.48
7	74.422,74.554,74.486,74.54,74.56,74.51,74.532,74.502,74.398,74.558,74.626,74.392,74.518,74.548,74.52,74.594
8	84.572,84.554,84.548,84.52,84.338,84.462,84.398,84.504,84.69,84.512,84.682,84.284,84.322,84.532,84.53,84.404
9	94.41,94.336,94.7,94.512,94.332,94.426,94.404,94.35,94.554,94.642,94.542,94.5,94.454,94.206,94.698,94.714
10	104.44,104.528,104.374,104.462,104.326,104.472,104.61,104.4,104.476,104.518,104.712,104.574,104.578,104.498,104.494,104.362
11	114.224,114.396,114.718,114.488,114.594,114.706,114.344,114.544,114.414,114.66,114.606,114.516,114.472,114.444,114.326,114.59
12	124.724,124.49,124.718,124.248,124.504,124.376,124.562,124.504,124.626,124.586,124.394,124.608,124.74,124.388,124.354,124.528
13	134.63,134.424,134.394,134.642,134.314,134.574,134.524,134.424,134.414,134.48,134.698,134.356,134.424,134.468,134.354,134.326
14	144.62,144.52,144.43,144.844,144.418,144.236,144.48,144.838,144.474,144.434,144.498,144.292,144.46,144.6,144.444,144.342
15	154.548,154.548,154.628,154.778,154.638,154.548,154.446,154.582,154.346,154.616,154.378,154.556,154.888,154.28,154.656,154.43
16	164.348,164.478,164.538,164.362,164.568,164.592,164.372,164.416,164.68,164.456,164.324,164.478,164.516,164.456,164.41,164.604
17	174.7,174.394,174.74,174.474,174.696,174.468,174.59,174.532,174.556,174.464,174.606,174.506,174.404,174.666,174.458,174.648
18	184.502,184.432,184.46,184.454,184.31,184.616,184.478,184.58,184.386,184.77,184.378,184.732,184.292,184.286,184.592,184.566
19	194.536,194.658,194.624,194.552,194.45,194.384,194.37,194.516,194.294,194.478,194.72,194.518,194.45,194.626,194.362,194.616
